record_id,source,source_type,published_at,week_start,language,engagement,trend_tag,text_clean
mock_0,pinterest,social,2025-08-28T04:03:43.118395+00:00,2025-08-25,en,145,cherry_cola_lips,cherry cola lips ideas #0 cherry cola lips trend is growing. look from pinterest with seasonal beauty focus.
mock_1,business_of_fashion,news,2025-08-28T04:03:43.118395+00:00,2025-08-25,en,36,strawberry_girl_blush,strawberry girl ideas #0 strawberry girl trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_2,business_of_fashion,news,2025-09-01T04:03:43.118395+00:00,2025-09-01,en,307,glass_skin,glass skin ideas #0 glowy base trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_3,instagram,social,2025-08-31T04:03:43.118395+00:00,2025-08-25,en,23,cherry_cola_lips,cherry cola lips ideas #0 90s lip combo trend is growing. look from instagram with seasonal beauty focus.
mock_4,tiktok,social,2025-08-29T04:03:43.118395+00:00,2025-08-25,en,192,fox_eye_siren_eye,fox eye ideas #0 fox eye trend is growing. look from tiktok with seasonal beauty focus.
mock_5,tiktok,social,2025-09-03T04:03:43.118395+00:00,2025-09-01,en,329,latte_makeup,warm neutrals ideas #0 latte makeup trend is growing. look from tiktok with seasonal beauty focus.
mock_6,business_of_fashion,news,2025-08-28T04:03:43.118395+00:00,2025-08-25,en,60,strawberry_girl_blush,douyin blush ideas #0 fruit blush trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_7,business_of_fashion,news,2025-08-29T04:03:43.118395+00:00,2025-08-25,en,43,clean_girl_makeup,no makeup makeup ideas #0 clean girl trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_8,instagram,social,2025-09-03T04:03:43.118395+00:00,2025-09-01,en,214,clean_girl_makeup,minimal makeup ideas #0 minimal makeup trend is growing. look from instagram with seasonal beauty focus.
mock_9,instagram,social,2025-08-30T04:03:43.118395+00:00,2025-08-25,en,127,latte_makeup,soft brown eyes ideas #0 warm neutrals trend is growing. look from instagram with seasonal beauty focus.
mock_10,business_of_fashion,news,2025-09-02T04:03:43.118395+00:00,2025-09-01,en,293,euphoria_glitter_liner,rhinestone eyes ideas #0 euphoria makeup trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_11,vogue,news,2025-08-30T04:03:43.118395+00:00,2025-08-25,en,370,fox_eye_siren_eye,siren eyes ideas #0 fox eye trend is growing. look from vogue with seasonal beauty focus.
mock_12,tiktok,social,2025-08-31T04:03:43.118395+00:00,2025-08-25,en,53,cherry_cola_lips,cherry cola lips ideas #0 90s lip combo trend is growing. look from tiktok with seasonal beauty focus.
mock_13,instagram,social,2025-09-02T04:03:43.118395+00:00,2025-09-01,en,222,graphic_editorial_liner,negative space liner ideas #0 floating liner trend is growing. look from instagram with seasonal beauty focus.
mock_14,instagram,social,2025-08-29T04:03:43.118395+00:00,2025-08-25,en,319,cherry_cola_lips,dark liner lips ideas #0 90s lip combo trend is growing. look from instagram with seasonal beauty focus.
mock_15,instagram,social,2025-08-29T04:03:43.118395+00:00,2025-08-25,en,66,graphic_editorial_liner,graphic liner ideas #0 graphic liner trend is growing. look from instagram with seasonal beauty focus.
mock_16,vogue,news,2025-09-01T04:03:43.118395+00:00,2025-09-01,en,217,clean_girl_makeup,minimal makeup ideas #0 no makeup makeup trend is growing. look from vogue with seasonal beauty focus.
mock_17,business_of_fashion,news,2025-09-03T04:03:43.118395+00:00,2025-09-01,en,368,glass_skin,glowy base ideas #0 glass skin trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_18,tiktok,social,2025-08-28T04:03:43.118395+00:00,2025-08-25,en,242,cherry_cola_lips,cherry cola lips ideas #0 dark liner lips trend is growing. look from tiktok with seasonal beauty focus.
mock_19,business_of_fashion,news,2025-09-03T04:03:43.118395+00:00,2025-09-01,en,279,euphoria_glitter_liner,euphoria makeup ideas #0 rhinestone eyes trend is growing. look from business_of_fashion with seasonal beauty focus.
mock_20,instagram,social,2025-08-30T04:03:43.118395+00:00,2025-08-25,en,296,euphoria_glitter_liner,rhinestone eyes ideas #0 euphoria makeup trend is growing. look from instagram with seasonal beauty focus.
mock_21,vogue,news,2025-08-28T04:03:43.118395+00:00,2025-08-25,en,205,clean_girl_makeup,minimal makeup ideas #0 clean girl trend is growing. look from vogue with seasonal beauty focus.
